x,CC2 M LM1,CC2 M HS20,CC2 M HL93,CC2 V LM1,CC2 V HS20,CC2 V HL93,CC3 M LM1,CC3 M HS20,CC3 M HL93,CC3 V LM1,CC3 V HS20,CC3 V HL93
5,1.183200795,4.475653318,3.264700749,1.101928981,4.260298846,2.983099622,1.342848967,5.079549015,3.705203753,1.233683849,4.769692031,3.339781318
10,1.264075438,4.782513666,3.472198805,1.27589769,3.965788907,3.328056266,1.408536732,5.329069744,3.869009247,1.425773927,4.431639363,3.718994
15,1.432734001,4.888037586,3.71700775,1.475378092,4.409723249,3.509604231,1.596806542,5.44780147,4.142668694,1.645512367,4.918233627,3.914316743
20,1.556974587,5.289564977,3.834833895,1.641679293,5.047732187,3.805756301,1.734149756,5.891488461,4.271216961,1.830997475,5.62983582,4.244635482
25,1.626565812,5.679907303,3.923072351,1.707232379,5.497027093,3.933025355,1.812292721,6.328458763,4.37102232,1.90477176,6.133073682,4.388105405
30,1.63333587,5.932056996,3.907741027,1.689364407,5.727173152,3.897120096,1.820002827,6.610006367,4.354340002,1.884841102,6.389865508,4.348056645
35,1.610272878,6.110822532,3.8454095,1.640422685,5.86198531,3.801937842,1.794668454,6.810585073,4.285755052,1.829942146,6.539225579,4.241179033
40,1.569126703,6.231533719,3.752293676,1.600496552,6.024881271,3.732245171,1.749070914,6.946153138,4.182598966,1.785406897,6.720954544,4.163443064
45,1.513461495,6.290244568,3.630406385,1.550020297,6.138317885,3.638955351,1.686778715,7.010585127,4.046149992,1.728759835,6.846153846,4.058579018
50,1.473042264,6.402994585,3.547752564,1.5066797,6.266580384,3.561628536,1.641724838,7.136221074,3.954016559,1.68042522,6.989222539,3.972344232
55,1.419348133,6.445741826,3.433875263,1.469894753,6.40950812,3.498330091,1.58173503,7.183195866,3.826743183,1.639978411,7.151161618,3.90312695
60,1.367527563,6.480476721,3.324141337,1.440995608,6.576063716,3.452194715,1.52381452,7.221093593,3.704038567,1.609868228,7.346723327,3.856763033
65,1.318417773,6.510994135,3.220055305,1.431179041,6.82367836,3.450380833,1.469091092,7.255092948,3.588054305,1.602302744,7.639574257,3.862937143
70,1.286185019,6.610804914,3.156153495,1.45012405,7.211693995,3.517130232,1.433471841,7.367837869,3.517578803,1.628110388,8.096847927,3.948818218
75,1.254117506,6.700192516,3.091662224,1.461263439,7.56818736,3.564427726,1.398338358,7.470700434,3.447196817,1.647318532,8.531805392,4.018267816
80,1.222524102,6.780524558,3.027229282,1.466465478,7.898215705,3.596513787,1.363762036,7.563877032,3.376964398,1.657064472,8.924760135,4.063958756
85,1.208101292,6.94776829,3.004407866,1.461650571,8.175122026,3.603106148,1.348995795,7.758049983,3.354796161,1.655668715,9.260280161,4.081379125
90,1.204699233,7.175612443,3.008340755,1.440149268,8.353886086,3.567358434,1.348251377,8.030659514,3.366815097,1.632396562,9.469056598,4.043569492
95,1.205164655,7.426609891,3.02143388,1.435942887,8.628088998,3.573281426,1.353081995,8.338123831,3.392273219,1.630678245,9.798187071,4.057871897
100,1.213297454,7.72723041,3.053357236,1.450313676,9.016468569,3.624756153,1.367781067,8.711103302,3.442127243,1.649168758,10.25273257,4.121752901
105,1.218723179,8.013933896,3.078126047,1.410255504,9.061513658,3.539186832,1.37965498,9.072169958,3.48459109,1.603622797,10.30398381,4.024462709
110,1.220236679,8.276802434,3.092638412,1.379786502,9.153732817,3.476262797,1.384881451,9.393579425,3.509923644,1.567946972,10.40202063,3.950318197
115,1.212305423,8.474676697,3.082708657,1.383463336,9.46713653,3.498458818,1.37762724,9.630366439,3.503096939,1.573151661,10.76518703,3.978136723
120,1.208209563,8.697189242,3.082022744,1.383533989,9.756879431,3.510973207,1.375640808,9.902428187,3.50912324,1.576310369,11.11636601,4.000178898
125,1.205982792,8.932145732,3.085656463,1.372976549,9.969695113,3.49586419,1.374907615,10.18329222,3.51787156,1.566331016,11.37371406,3.988182109
130,1.19950208,9.133991523,3.077957866,1.355356335,10.12544797,3.46200212,1.369293954,10.42692595,3.513648843,1.545201819,11.54372486,3.946926602
135,1.191950184,9.32503812,3.067050842,1.327587795,10.19609357,3.401381711,1.361628841,10.65249288,3.503657233,1.514552292,11.63201178,3.880399085
140,1.18559137,9.522714469,3.058775019,1.32796625,10.47726141,3.412209707,1.355201385,10.88502849,3.496361603,1.513973556,11.9448041,3.890155538
145,1.178068808,9.708321087,3.047090329,1.307691393,10.59150156,3.369421048,1.347485232,11.10446113,3.485288116,1.490859808,12.07505384,3.841376064
