x,A16L,A27L,A50L,A67L,A16L_COV,A27L_COV,A50L_COV,A67L_COV,A16L_Shear,A27L_Shear,A50L_Shear,A67L_Shear,A16L_Shear_COV,A27L_Shear_COV,A50L_Shear_COV,A67L_Shear_COV
5,0.36023,0.385753,0.38117,0.52489,0.0357451,0.0489603,0.0399239,0.159499,0.236818,0.247696,0.237387,0.302152,0.0297227,0.03363735,0.0286775,0.08925935
10,1.14189,1.1493,1.11556,1.18876,0.0210245,0.015168,0.00805754,0.0468685,0.416662,0.417912,0.415853,0.433738,0.027300333,0.028124033,0.0293883,0.0697823
15,2.17351,2.31724,2.21086,2.18555,0.0105445,0.0322763,0.023129,0.0332207,0.579261,0.581245,0.573935,0.541401,0.0239133,0.0193968,0.034024933,0.040753567
20,3.61226,3.67267,3.65961,3.28173,0.00984843,0.0117534,0.0244741,0.0252084,0.732577,0.740913,0.737659,0.633558,0.022569767,0.0168322,0.039492533,0.039533367
25,5.15116,5.23221,5.23562,4.62228,0.00973051,0.0110593,0.027838,0.040936,0.838805,0.841383,0.842074,0.716493,0.022381567,0.0165426,0.042379767,0.047455733
30,6.70653,6.81847,6.78352,5.99964,0.0100856,0.0111617,0.0249245,0.0471463,0.890209,0.902445,0.901785,0.778557,0.018595,0.017176467,0.038842867,0.0521751
35,8.25066,8.38138,8.37223,7.42142,0.0101482,0.0107903,0.0261136,0.0527108,0.928142,0.959786,0.945544,0.803608,0.016791333,0.019149133,0.037478567,0.0520544
40,9.78577,9.97389,9.94478,8.82082,0.00991824,0.0119753,0.0257268,0.0547311,0.976692,0.998363,0.989772,0.824089,0.015767367,0.020041,0.036547167,0.050924733
45,11.3288,11.5415,11.4559,10.2184,0.00983923,0.0111177,0.0228961,0.0553755,1.01077,1.02246,1.03016,0.857592,0.020942633,0.017957733,0.034829067,0.047284267
50,12.8708,13.1082,13.0559,11.6168,0.00917029,0.0105361,0.0241333,0.0561556,1.06089,1.04428,1.03861,0.876544,0.029995,0.016425667,0.032356067,0.042529033
55,14.435,14.7105,14.6484,12.9532,0.0103118,0.0112742,0.0236372,0.0523693,1.1207,1.07584,1.06684,0.883509,0.0381448,0.019498733,0.031174133,0.040246467
60,15.9306,16.3146,16.1782,14.3235,0.00912737,0.0123752,0.0215288,0.0498128,1.13727,1.12028,1.08164,0.927693,0.048303367,0.027388467,0.034370733,0.040054867
65,17.5164,17.8747,17.8184,15.6962,0.0088759,0.0118072,0.0234894,0.0480164,1.21639,1.1618,1.11103,0.938106,0.058340133,0.042129167,0.0366003,0.044195867
70,19.1272,19.5523,19.6279,17.1879,0.00993706,0.0139852,0.0286201,0.0488311,1.3095,1.25153,1.12849,0.980752,0.0701493,0.0508626,0.0438307,0.0429593
75,20.7846,21.2862,21.5086,18.6532,0.0120545,0.0170069,0.0355204,0.0487565,1.3803,1.28981,1.20376,0.987179,0.081003967,0.0600278,0.051399,0.046510833
80,22.7163,22.9429,23.3537,20.2067,0.0181418,0.0169681,0.0385276,0.0504054,1.46001,1.34046,1.24746,1.04276,0.081979633,0.0650683,0.0644761,0.044281767
85,25.1083,24.9895,25.0616,21.8994,0.0311626,0.021809,0.0385936,0.0532889,1.46689,1.39776,1.31658,1.04703,0.0783292,0.0712159,0.0724014,0.050364867
90,27.7103,27.3747,26.9745,23.7622,0.0450132,0.0317848,0.041026,0.0580795,1.47647,1.41584,1.3528,1.12394,0.069126167,0.073981,0.0789687,0.052550067
95,30.3151,29.9773,29.0549,25.8569,0.0541675,0.0437815,0.0449535,0.0645694,1.49375,1.4695,1.39148,1.15157,0.070089,0.0747998,0.084257533,0.060121767
100,33.3034,32.6251,31.3776,28.055,0.0657705,0.053817,0.0516373,0.0706559,1.60227,1.51659,1.46308,1.17946,0.071327867,0.072692833,0.0870419,0.063225767
105,36.0743,35.2551,33.8,30.2702,0.0716278,0.0617658,0.0579988,0.075289,1.60739,1.52499,1.45506,1.22695,0.071283433,0.067632033,0.088575333,0.068109967
110,38.9135,37.7158,36.3133,32.5429,0.0747773,0.0647851,0.0643389,0.0783522,1.60662,1.51361,1.48784,1.25527,0.069223233,0.066986567,0.0845058,0.0699475
115,41.753,40.297,38.7358,34.8149,0.0761085,0.0678563,0.0682288,0.0794676,1.67138,1.61928,1.4987,1.27472,0.068274133,0.070426733,0.085716767,0.071879967
120,44.5476,42.6221,41.6062,37.419,0.0768738,0.0666118,0.0751933,0.0835989,1.68253,1.65513,1.58334,1.32168,0.066391167,0.075179233,0.089744233,0.075289333
125,47.1771,45.4066,44.4501,40.1714,0.0752754,0.0695686,0.0809422,0.0880359,1.69381,1.67289,1.62908,1.38306,0.063810233,0.076397533,0.091601867,0.083897067
