x,A16L,A27L,A50L,A67L,A16L_COV,A27L_COV,A50L_COV,A67L_COV,A16L_Shear,A27L_Shear,A50L_Shear,A67L_Shear,A16L_Shear_COV,A27L_Shear_COV,A50L_Shear_COV,A67L_Shear_COV
16.404,265.705648,284.5314128,281.150992,387.158864,0.0357451,0.0489603,0.0399239,0.159499,53.23905458,55.68453776,53.36697147,67.92679112,0.0297227,0.03363735,0.0286775,0.08925935
32.808,842.258064,847.72368,822.837056,876.829376,0.0210245,0.015168,0.00805754,0.0468685,93.66978422,93.95079672,93.48791293,97.50863978,0.027300333,0.028124033,0.0293883,0.0697823
49.212,1603.180976,1709.196224,1630.730336,1612.06168,0.0105445,0.0322763,0.023129,0.0332207,130.2236654,130.6696885,129.0263274,121.7123588,0.0239133,0.0193968,0.034024933,0.040753567
65.616,2664.402976,2708.961392,2699.328336,2420.604048,0.00984843,0.0117534,0.0244741,0.0252084,164.6906354,166.5646515,165.8331198,142.430174,0.022569767,0.0168322,0.039492533,0.039533367
82.02,3799.495616,3859.278096,3861.793312,3409.393728,0.00973051,0.0110593,0.027838,0.040936,188.5717521,189.1513122,189.3066559,161.0747913,0.022381567,0.0165426,0.042379767,0.047455733
98.424,4946.736528,5029.303472,5003.524352,4425.334464,0.0100856,0.0111617,0.0249245,0.0471463,200.1278853,202.8786605,202.7302859,175.0273992,0.018595,0.017176467,0.038842867,0.0521751
114.828,6085.686816,6182.105888,6175.356848,5474.039392,0.0101482,0.0107903,0.0261136,0.0527108,208.655603,215.7694907,212.5677466,180.6591145,0.016791333,0.019149133,0.037478567,0.0520544
131.232,7217.983952,7356.741264,7335.269728,6506.236832,0.00991824,0.0119753,0.0257268,0.0547311,219.5701285,224.441986,222.5106433,185.2634481,0.015767367,0.020041,0.036547167,0.050924733
147.636,8356.12288,8513.0104,8449.87184,7537.09184,0.00983923,0.0111177,0.0228961,0.0553755,227.2312037,229.8592326,231.5902696,192.7952575,0.020942633,0.017957733,0.034829067,0.047284267
164.04,9493.50208,9668.60832,9630.03184,8568.55168,0.00917029,0.0105361,0.0241333,0.0561556,238.4986809,234.7645868,233.4899141,197.0558566,0.029995,0.016425667,0.032356067,0.042529033
180.444,10647.256,10850.4648,10804.65984,9554.28032,0.0103118,0.0112742,0.0236372,0.0523693,251.944567,241.8595904,239.8363004,198.6216583,0.0381448,0.019498733,0.031174133,0.040246467
196.848,11750.41056,12033.64896,11933.04032,10565.0136,0.00912737,0.0123752,0.0215288,0.0498128,255.6696687,251.8501468,243.1634884,208.5546633,0.048303367,0.027388467,0.034370733,0.040054867
213.252,12920.09664,13184.37872,13142.85184,11577.51712,0.0088759,0.0118072,0.0234894,0.0480164,273.4566359,261.184258,249.7706543,210.8956099,0.058340133,0.042129167,0.0366003,0.044195867
229.656,14108.22272,14421.77648,14477.53904,12677.79504,0.00993706,0.0139852,0.0286201,0.0488311,294.388695,281.3564593,253.6958369,220.4828571,0.0701493,0.0508626,0.0438307,0.0429593
246.06,15330.72096,15700.70112,15864.74336,13758.60032,0.0120545,0.0170069,0.0355204,0.0487565,310.305243,289.9621861,270.6172856,221.927711,0.081003967,0.0600278,0.051399,0.046510833
262.464,16755.54288,16922.68304,17225.68912,14904.46192,0.0181418,0.0169681,0.0385276,0.0504054,328.2248481,301.3488126,280.4414826,234.4228756,0.081979633,0.0650683,0.0644761,0.044281767
278.868,18519.88208,18432.2552,18485.43616,16152.99744,0.0311626,0.021809,0.0385936,0.0532889,329.7715409,314.2304256,295.9803498,235.3828143,0.0783292,0.0712159,0.0724014,0.050364867
295.272,20439.11728,20191.57872,19896.3912,17526.99872,0.0450132,0.0317848,0.041026,0.0580795,331.9252207,318.2949904,304.122968,252.6729514,0.069126167,0.073981,0.0789687,0.052550067
311.676,22360.41776,22111.25648,21430.89424,19072.04944,0.0541675,0.0437815,0.0449535,0.0645694,335.8099375,330.358295,312.8186188,258.8844517,0.070089,0.0747998,0.084257533,0.060121767
328.08,24564.58784,24064.27376,23144.11776,20693.368,0.0657705,0.053817,0.0516373,0.0706559,360.2063187,340.9445979,328.9150148,265.1544026,0.071327867,0.072692833,0.0870419,0.063225767
344.484,26608.40368,26004.16176,24930.88,22327.29952,0.0716278,0.0617658,0.0579988,0.075289,361.3573459,342.8330019,327.1120386,275.8306295,0.071283433,0.067632033,0.088575333,0.068109967
360.888,28702.5976,27819.17408,26784.69008,24003.64304,0.0747773,0.0647851,0.0643389,0.0783522,361.1842422,340.2746641,334.4813104,282.1972487,0.069223233,0.066986567,0.0845058,0.0699475
377.292,30797.0128,29723.0672,28571.52608,25679.47024,0.0761085,0.0678563,0.0682288,0.0794676,375.7429378,364.0303368,336.922747,286.5698032,0.068274133,0.070426733,0.085716767,0.071879967
393.696,32858.30976,31438.06096,30688.73312,27600.2544,0.0768738,0.0666118,0.0751933,0.0835989,378.2495693,372.0897753,355.9506654,297.1268808,0.066391167,0.075179233,0.089744233,0.075289333
410.1,34797.82896,33491.90816,32786.39376,29630.42464,0.0752754,0.0695686,0.0809422,0.0880359,380.7854261,376.0824009,366.2334748,310.9257186,0.063810233,0.076397533,0.091601867,0.083897067
426.504,36773.19552,35569.06352,34850.56736,31551.28256,0.0729621,0.0714286,0.0848061,0.0896687,387.4532907,384.0991255,360.0984099,321.4805481,0.0597253,0.0754493,0.092100567,0.085632533
442.908,38860.67728,37741.29552,36737.56944,33686.26576,0.0715716,0.0739098,0.0852275,0.0940236,390.27016,387.9748499,371.790778,317.341796,0.056215867,0.080153867,0.089142567,0.0901807
459.312,40879.85728,39968.03616,38905.74464,35747.85776,0.069633,0.0763019,0.0868227,0.0959289,387.864693,409.6397896,377.1075345,332.9863239,0.053269833,0.0796037,0.091655967,0.086462
475.716,42927.50864,42258.72672,41010.11744,37782.23232,0.068322,0.0791569,0.0884882,0.0965858,405.1211086,411.0943103,384.3396722,332.1073168,0.050157733,0.0785744,0.091459267,0.092099
492.12,44893.43392,44557.38336,43087.12528,39760.84432,0.0664438,0.0812457,0.0889318,0.0973885,402.7606036,409.1069899,390.5286915,344.0402316,0.049235767,0.075219633,0.094514533,0.092891733
