epsilon_s,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_90,M_91,M_92,M_93,M_94,M_95,M_96,M_97,M_98,M_99,M_100
M_y,5208.05,3837.29,4189.98,7523.78,4625.98,4712.73,6313.96,5741.34,4335.68,5118.43,4743.78,4824.78,5169.21,4812.82,3580.62,5649.94,5150.74,5082.82,5748.92,5872.67,5190.3,5171.28,4596.69,4405.97,4660.95,5387.99,4184.68,4577.61,4144.75,4883.19,4249.78,4567.92,3786.38,4415.16,4222.18,5439.06,4796.42,5141.83,4356.16,3954.16,4868.54,6036.25,4503.33,5329.57,4168.26,3041.52,5188.2,4833.26,3821.1,4156.19,5073.7,3774.98,4182.67,4362.69,6502.43,4430.65,6136.42,4491.5,3547.72,5896.11,4466.41,4445.8,5217.65,4752.36,5420.74,4368.2,4368.08,4913.11,4819.41,4675.08,3634,6341.49,4627.59,5731.98,4224.39,5159.19,3904.36,5341.88,4504.39,5143.96,5282.22,5279.86,5847.3,4541.55,4099.81,4220.3,5831.46,5491.8,5133.39,5336.92,4707.95,4509.45,5812.99,4567.36,5298.71,3937.24,5299.94,4490.07,5236.58,4969.79
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,122.64,94.9589,106.099,122.797,113.195,122.817,153.342,139.89,102.196,127.256,115.049,126.588,127.093,116.094,87.3021,146.086,119.036,127.317,148.177,148.316,134.626,132.139,110.289,112.876,105.76,134.863,106.614,116.156,106.847,139.078,112.944,113.155,98.8227,130.196,105.424,120.82,130.899,118.209,132.822,101.679,117.879,146.918,124.373,137.973,111.255,114.719,125.493,124.763,90.5329,103.289,123.529,108.502,120.35,109.067,160.91,120.139,126.712,103.313,101.639,143.782,109.089,108.715,139.557,120.861,140.278,103.952,95.4325,119.561,121.534,116.829,88.7197,121.504,121.753,147.678,106.315,127.689,98.7381,128.202,108.367,138.161,135.801,137.384,152.786,116.438,98.7848,107.943,142.56,135.344,115.428,129.907,124.85,114.628,138.34,124.421,136.003,111.3,120.108,118.253,120.762,126.157
50,245.28,189.917,212.197,245.594,226.39,245.633,306.685,279.78,204.392,254.511,230.098,253.176,254.185,232.187,174.603,292.173,238.071,254.634,296.353,296.631,269.251,264.278,220.577,225.751,211.519,269.726,213.228,232.311,213.693,278.157,225.887,226.309,197.644,260.392,210.848,241.64,261.798,236.417,265.643,203.358,235.757,293.835,248.744,275.945,222.51,229.434,250.985,249.526,181.065,206.576,247.057,217.001,240.699,218.133,321.821,240.277,253.423,206.625,203.276,287.564,218.177,217.429,279.114,241.722,280.556,207.903,190.864,239.12,243.066,233.657,177.438,243.008,243.505,295.355,212.628,255.377,197.475,256.403,216.734,276.321,271.601,274.768,305.572,232.874,197.569,215.885,285.12,270.688,230.856,259.813,249.7,229.254,276.68,248.841,272.006,222.599,240.217,236.504,241.524,252.313
75,367.915,284.873,318.292,368.389,339.581,368.442,460.018,419.662,306.585,381.76,345.144,379.756,381.272,348.277,261.903,438.248,357.104,381.945,444.52,444.938,403.867,396.408,330.861,338.621,317.277,404.583,319.839,348.461,320.535,417.219,338.826,339.46,296.464,390.572,316.269,362.458,392.687,354.623,398.45,305.033,353.633,440.743,373.11,413.909,333.76,344.126,376.474,374.283,271.596,309.862,370.58,325.497,361.04,327.196,482.721,360.409,380.132,309.935,304.91,431.339,327.261,326.141,418.661,362.576,420.824,311.852,286.296,358.676,364.593,350.481,266.156,364.51,365.249,443.021,318.938,383.058,296.21,384.599,325.097,414.471,407.392,412.144,458.346,349.308,296.351,323.824,427.672,406.024,346.281,389.716,374.542,343.878,415.014,373.254,408.001,333.892,360.32,354.751,362.281,378.463
100,490.545,379.817,424.374,491.184,452.762,491.24,613.35,559.543,408.769,509.003,460.179,506.332,508.353,464.358,349.193,584.322,476.128,509.25,592.68,593.24,538.482,528.535,441.135,451.481,423.026,539.431,426.437,464.599,427.365,556.28,451.749,452.599,395.268,520.75,421.677,483.268,523.566,472.821,531.246,406.695,471.498,587.649,497.457,551.864,444.994,458.758,501.952,499.028,362.117,413.135,494.097,433.968,481.357,436.248,643.621,480.526,506.838,413.236,406.522,575.11,436.337,434.842,558.199,483.423,561.091,415.792,381.721,478.22,486.111,467.295,354.862,486.009,486.986,590.685,425.236,510.735,394.932,512.79,433.451,552.615,543.183,549.508,611.118,465.727,395.122,431.749,570.222,541.36,461.699,519.607,499.373,458.486,553.345,497.652,543.988,445.165,480.422,472.983,483.034,504.603
125,613.151,474.752,530.445,613.972,565.924,614.001,766.632,699.378,510.944,636.209,575.199,632.856,635.401,580.417,436.474,730.33,595.137,636.52,740.784,741.497,673.035,660.613,551.392,564.317,528.765,674.243,533.025,580.715,534.174,695.24,564.655,565.724,494.065,650.833,527.078,604.065,654.393,591.005,663.961,508.341,589.349,734.501,621.776,689.775,556.214,573.282,627.415,623.745,452.634,516.402,617.585,542.427,601.635,545.282,804.46,600.613,633.527,516.529,508.121,718.839,545.396,543.535,697.68,604.231,701.298,519.721,477.136,597.749,607.598,584.092,443.56,607.498,608.679,738.28,531.518,638.373,493.643,640.946,541.79,690.696,678.917,686.831,763.816,582.134,493.885,539.66,712.72,676.645,577.104,649.483,624.167,573.084,691.637,622.014,679.937,556.414,600.496,591.193,603.762,630.713
150,735.732,569.631,636.453,736.756,679.038,736.71,919.902,839.205,613.072,763.388,690.17,759.361,762.42,696.438,523.716,876.327,714.107,763.76,888.855,889.725,807.584,792.669,661.598,677.104,634.464,809.015,639.55,696.769,640.927,834.194,677.484,678.787,592.791,780.899,632.414,724.829,785.165,709.151,796.619,609.924,707.153,881.335,746.001,827.638,667.353,687.513,752.824,748.405,543.106,619.608,741.043,650.766,721.8,654.266,965.291,720.625,760.201,619.776,609.616,862.548,654.411,652.173,837.12,725.004,841.496,623.603,572.537,717.216,729.04,700.835,532.212,728.973,730.338,885.858,637.737,765.986,592.297,769.083,650.082,828.747,814.643,824.095,916.505,698.469,592.597,647.507,855.211,811.929,692.475,779.299,748.9,687.608,829.914,746.307,815.842,667.568,720.561,709.327,724.466,756.773
175,858.242,664.482,742.435,859.517,792.107,859.312,1073.02,978.89,715.175,890.454,805.108,885.706,889.342,812.396,610.906,1022.12,833.041,890.897,1036.75,1037.82,941.93,924.576,771.764,789.826,740.146,943.685,746.044,812.774,747.631,972.824,790.283,791.829,691.458,910.683,737.704,845.557,915.789,827.263,929.033,711.476,824.926,1028.02,870.167,965.373,778.458,801.486,878.208,872.99,633.546,722.765,864.416,759.014,841.874,763.206,1125.94,840.566,886.828,723.007,711.044,1006.13,763.388,760.78,976.382,845.662,981.503,727.468,667.891,836.657,850.394,817.542,620.812,850.421,851.863,1033.24,743.928,893.479,690.886,897.108,758.344,966.602,950.197,961.244,1068.96,814.766,691.286,755.329,997.54,947.045,807.814,909.088,873.535,802.09,968.069,870.501,951.636,778.672,840.535,827.415,845.098,882.751
200,980.672,759.191,848.241,982.269,905.021,981.752,1226.09,1118.54,817.156,1017.43,919.891,1011.99,1016.17,928.236,698.04,1167.87,951.849,1017.94,1184.55,1185.82,1076.27,1056.41,881.77,902.396,845.7,1078.23,852.381,928.582,854.155,1111.43,902.839,904.672,790.015,1040.38,842.884,966.185,1046.24,945.256,1061.27,812.827,942.549,1174.62,994.038,1102.96,889.333,914.562,1003.42,997.397,723.905,825.827,987.693,867.061,961.591,871.986,1286.55,960.269,1013.4,826.104,812.257,1149.64,872.225,869.26,1115.52,966.211,1121.48,831.184,763.207,955.902,971.609,934.08,709.345,971.824,973.282,1180.53,849.92,1020.9,789.392,1025.07,866.456,1104.36,1085.71,1098.21,1221.38,930.883,789.837,862.945,1139.83,1082.16,923.047,1038.69,997.98,916.399,1106.18,994.478,1087.29,889.475,960.483,945.263,965.655,1008.57
225,1102.95,853.78,953.931,1104.97,1017.87,1103.98,1378.85,1257.88,919.034,1144.17,1034.63,1137.91,1142.79,1043.96,784.998,1313.18,1070.6,1144.76,1331.97,1333.52,1210.12,1187.91,991.72,1014.85,951.198,1212.55,958.586,1044.32,960.609,1249.29,1015.29,1017.42,888.346,1169.49,947.876,1086.75,1176.38,1063.2,1192.97,914.1,1060.13,1320.94,1117.83,1240.27,1000.06,1027.25,1128.56,1121.67,814.138,928.699,1110.79,974.753,1081.18,980.703,1446.74,1079.86,1139.88,929.125,913.204,1292.86,981.004,977.613,1254.27,1086.51,1261.02,934.83,858.436,1075.07,1092.65,1050.57,797.694,1093.18,1094.41,1327.43,955.837,1148.05,887.667,1152.79,974.531,1241.68,1220.85,1234.94,1373.27,1046.84,888.291,970.47,1281.78,1216.88,1038.23,1168.22,1122.24,1030.54,1244.01,1118.28,1222.72,1000.18,1080.22,1063.05,1086.06,1134.24
250,1225.04,948.178,1059.37,1227.64,1130.34,1225.81,1531.43,1397.12,1020.75,1270.7,1149,1263.69,1269.19,1159.39,871.849,1458.33,1189.05,1271.35,1479.14,1481,1343.97,1319.26,1101.28,1126.93,1056.47,1346.57,1064.57,1159.58,1066.63,1387.07,1127.34,1129.87,986.567,1298.32,1052.75,1207.07,1306.12,1180.85,1324.26,1015,1177.35,1466.98,1240.93,1377.23,1110.47,1137.86,1253.37,1245.51,904.279,1031.48,1233.66,1082.23,1199.91,1089.03,1606.82,1198.88,1266.23,1031.95,1013.88,1435.93,1089.44,1085.8,1392.72,1206.55,1400.5,1038.24,953.533,1193.88,1213.35,1166.65,885.938,1214.42,1215.28,1474.06,1061.38,1275.02,985.81,1280.36,1082.24,1378.79,1355.87,1371.23,1525.04,1162.56,986.548,1077.66,1423.6,1351.6,1153.15,1297.4,1246.04,1144.45,1381.73,1241.55,1357.82,1110.27,1199.9,1180.28,1206.28,1259.52
